Blanche (allée)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 1
Blanchisseurs (rue des)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Boileau (rue)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Bois (rue du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 1
Bois Tardieu (aveue du)	- Du n°2 au 7,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 3
Bois Tardieu (aveue du)	- du 10 au 29,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Bois Tardieu (place du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Bonnelais (rue) - du 2 au 26	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur B	, Secteur 1
Bonnelais (rue)	- du 27 au 67,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur B	,	Secteur 4
Bosquets (rue des)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Bossuet (rue)	,	Lundi, mercredi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Boullet (allée)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Bourcillière (rue de la)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Bourgeois (villa)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 4
Bourgogne (rue de)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Bourgogne (7 rue de)	,	Lundi, mercredi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Bourgogne (9 rue de)	,	Lundi, mercredi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Breant (allée)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Bretagne (rue de)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 4
Bretagne (numéros impairs du 1 au 7 et pairs du 36 au 40) (rue de)	,	Lundi, mercredi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Brignole Galliera (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Brissard (allée)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Brissard (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Canal (square du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Canal (allée du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Capitaine Deullin (rue du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Capitaine Tarron (rue du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Carnets (impasse des)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Carnets (rue des)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Cavée (rue de la)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
