"n°9, 18, 52, 61, 63 et 71"	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Vauban (allée)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Verdun (avenue de)					
"du n°1 au n°57 (côté impair) et n°71 ,
73, 117, 119 et 121"	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur B	Secteur 3
du n°75 au n°115 (côté impair)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur B	Secteur 3
du n°2 au n°62 (côté pair)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur B	Secteur 3
"du n°68 au n°76 (côté pair)
Présentation villa des Paroseaux"	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
du n°136 au n°156 (côté pair)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
Vergers (rue des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Verges (villa)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Victor Hugo (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Voltaire (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
